index	actual_p	real_lower_num	real_upper_num	imag_lower_num	imag_upper_num	denominator	cell_status	strict_margin_num
82	820703250	22126115846500188665795295658078908913053980953241493675521163977387289870336	22126115846500188665795295658078908913053980955073722304915982120505174917120	-916810655969507097963573280768	915069802789262031951996387328	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10422963680308063605696372748910102541761644794689153699674213842944
83	-352213215	-9495649501235627055761672558986629446499577658742991337497030300894536663040	-9495649501235627055761672558986629446499577654214567988164881587179949654016	-2264540502489009535992813584384	2263650733085773168920229838848	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4110008009200256576599566984684592058557914375283285253640587051008
84	53659185	1446648766160504410405982759193123142115099787309633065089471087979140218880	1446648766160504410405982759193123142115099788152592860590359718918262620160	-422214924648770010007782555648	420706185225890952797749248000	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13122238526779736514092561862343085704106802099449374148164119953408
85	-1044940562	-28171541811743559902723305945592092029064459376788964703684069260256125911040	-28171541811743559902723305945592092029064459372056822846637020155053451771904	-2363846505015433634919877705728	2367947181395566457080481054720	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	3361116750599710495032827791431438431910683781701165521560529797120
86	877610521	23660332845740329051475239265095938009872255843491643940888578358796307398656	23660332845740329051475239265095938009872255845497725774550537094270338203648	-1003118288083434704004196597760	1002886174326068695202653011968	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	8429930857781132764271727946355834772938922395499351192076860522496
87	-1876666474	-50594828053601609038594100863469196268205296303176335393690334669955420651520	-50594828053601609038594100863469196268205296298778359975997882902708328857600	-2198890994780656713289569402880	2199355222295388730892656574464	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10948007105283050241326244740381383612520219097634095445662836457472
88	-85348580468159385853720416	-2300993177538591826908621433368059300710879814350283689487039523682806560154804739864394727424	-2300993177538591826908621433368059300710879814350283689486982584034322015163328807213058752512	-28472809534677232432499244906053632	28466840922834696654508219550400512	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	3273109746077924275367758252548683500544604975394067073909957591040
89	1715153725	46240452946665739214221952393478413803850817727480235134962084918817359659008	46240452946665739214221952393478413803850817731811864703674085836956576514048	-2164731586821625751329071693824	2167516951910017856947594723328	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	8180957567840906229679002649347625509615370491635021929478164054016
90	618371130	16671252684886309522242218617421954628512826028550900671198104254878905794560	16671252684886309522242218617421954628512826030501894173111863568119925571584	-976309149107660687425912438784	975612807835562661021281681408	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13060607845766328421668084820182979158829861606481447378543431385088
91	-1679256534	-45272666595588964798697084323014809292904970398811829406858929921893788024832	-45272666595588964798697084323014809292904970394289634443349435777687287234560	-2259743484836778687427579478016	2261484338017023753439156371456	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	11964703094797400781194023441442789414455293435625892976253755981824
92	-543729322	-14658913513232294100138578988467117816455216698480747834153864200571869724672	-14658913513232294100138578988467117816455216697683321020722940962868880736256	-398268522013843435315202621440	398964863285941461719833378816	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4226290386293383556771670573097904223617826239350903390862219149312
93	-1137096720	-30656066933060433721283907783352577685605027512581798078604011952803074277376	-30656066933060433721283907783352577685605027508383749977256149099952191045632	-2100822932293517994637404405760	2097147797801889521946297630720	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	7011463868708748461621466472508975217273953167851451482290627018752
94	1147749933	30943276987589431152454038269088211908851078673331561748051456071389352558592	30943276987589431152454038269088211908851078675010750040089619078022833373184	-839284661009260158248015626240	839787574150219843984693395456	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	6796262306357481951682065910010514039090087926148979592124749053952
95	478462876	12899333606808544180506464490978651581836675685833517193377974283031615111168	12899333606808544180506464490978651581836675689289226813043113320412520382464	-1727622696075203509888909049856	1729131435498082567098942357504	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1117007672685354887441356364780245521815967868652971509760456130560
